==============================================================================
==============================================================================
Fri. Jul. 18 2014                  LANDSAT 1                       Time: 18:14
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101407172653_00681                          Path / Row - 36 / 32
Reference Image: L11XXX1173191170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 72.9%
Rank   2 -- 27.1%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360321169   40.94480   -104.85268    -0.10      0.08     0.13     1 
0360321173   40.94449   -104.69301    -0.08      0.08     0.11     1 
0360321175   40.94425   -104.61317    -0.37     -0.10     0.39     1 
0360321176   40.94411   -104.57326    -0.33     -0.04     0.33     1 
0360321214   40.91417   -106.04974     0.78      0.06     0.79     2 
0360321219   40.91582   -105.85027     0.25     -0.57     0.62     2 
0360321221   40.91638   -105.77047     0.68     -0.04     0.68     2 
0360321229   40.91807   -105.45128     0.57     -0.21     0.61     2 
0360321230   40.91822   -105.41138     0.46     -0.19     0.50     2 
0360321231   40.91835   -105.37147     0.44     -0.20     0.48     1 
0360321235   40.91876   -105.21187     0.13     -0.07     0.15     1 
0360321236   40.91882   -105.17196     0.05     -0.15     0.16     1 
0360321237   40.91888   -105.13206     0.05     -0.14     0.15     1 
0360321238   40.91891   -105.09216     0.02     -0.18     0.19     1 
0360321240   40.91895   -105.01235     0.09      0.09     0.13     1 
0360321246   40.91873   -104.77294     0.17      0.16     0.23     1 
0360321247   40.91864   -104.73303    -0.05     -0.05     0.07     1 
0360321249   40.91843   -104.65323    -0.13     -0.03     0.13     1 
0360321250   40.91830   -104.61333    -0.03     -0.08     0.09     1 
0360321251   40.91816   -104.57343    -0.24      0.14     0.27     1 
0360321260   40.91627   -104.21433    -0.29      0.12     0.32     1 
0360321287   40.88748   -106.12909     0.66     -0.33     0.74     2 
0360321288   40.88786   -106.08921     0.73     -0.01     0.73     2 
0360321302   40.89179   -105.53087     0.73     -0.31     0.79     2 
0360321304   40.89213   -105.45110     0.73     -0.12     0.74     2 
0360321305   40.89227   -105.41121     0.57     -0.26     0.63     2 
0360321307   40.89253   -105.33144    -0.04     -0.20     0.20     1 
0360321310   40.89281   -105.21178     0.12     -0.21     0.24     1 
0360321311   40.89288   -105.17190     0.12     -0.34     0.36     1 
0360321312   40.89293   -105.13201     0.12     -0.26     0.29     1 
0360321313   40.89297   -105.09212     0.13     -0.22     0.25     1 
0360321314   40.89300   -105.05223     0.53     -0.05     0.53     2 
0360321321   40.89278   -104.77302     0.08      0.13     0.15     1 
0360321322   40.89270   -104.73314    -0.09      0.06     0.10     1 
0360321324   40.89249   -104.65336    -0.08     -0.10     0.13     1 
0360321325   40.89236   -104.61348    -0.01     -0.11     0.11     1 
0360321327   40.89207   -104.53371    -0.37     -0.02     0.37     1 
0360321361   40.86114   -106.16850     0.28      0.03     0.28     1 
0360321362   40.86154   -106.12865     0.69     -0.24     0.73     2 
0360321363   40.86192   -106.08878     0.35     -0.31     0.47     1 
0360321370   40.86422   -105.80974     0.73     -0.38     0.83     2 
0360321375   40.86545   -105.61040     0.80     -0.12     0.81     2 
0360321378   40.86602   -105.49079     0.70     -0.10     0.71     2 
0360321382   40.86659   -105.33131     0.23     -0.13     0.26     1 
0360321385   40.86687   -105.21170     0.01     -0.32     0.32     1 
0360321391   40.86706   -104.97247     0.18     -0.02     0.18     1 
0360321400   40.86642   -104.61363    -0.02     -0.23     0.23     1 
0360321402   40.86612   -104.53389    -0.06     -0.33     0.34     1 
0360321437   40.83560   -106.12820     0.29      0.06     0.30     1 
0360321438   40.83599   -106.08836     0.22      0.17     0.28     1 
0360321457   40.84064   -105.33118     0.75     -0.02     0.75     2 
0360321460   40.84092   -105.21162     0.02     -0.32     0.33     1 
0360321461   40.84099   -105.17176     0.30     -0.46     0.55     2 
0360321471   40.84090   -104.77320     0.01      0.12     0.12     1 
0360321477   40.84018   -104.53407     0.05     -0.23     0.24     1 
0360321478   40.84001   -104.49422     0.25     -0.15     0.29     1 
0360321480   40.83963   -104.41451    -0.40     -0.26     0.48     1 
0360321487   40.83788   -104.13555     0.21     -0.36     0.42     1 
0360321517   40.81144   -105.92861     0.64     -0.44     0.78     2 
0360321519   40.81205   -105.84894     0.56     -0.29     0.63     2 
0360321520   40.81234   -105.80911     0.65     -0.42     0.78     2 
0360321525   40.81356   -105.60993     0.76     -0.31     0.83     2 
0360321526   40.81377   -105.57009     0.58     -0.13     0.60     2 
0360321529   40.81430   -105.45057     0.66     -0.02     0.66     2 
0360321530   40.81444   -105.41073     0.57      0.01     0.57     2 
0360321536   40.81505   -105.17169     0.32     -0.43     0.54     2 
0360321552   40.81423   -104.53425    -0.05     -0.34     0.34     1 
0360321589   40.78447   -106.04770     0.55     -0.08     0.55     2 
0360321591   40.78517   -105.96806     0.60      0.20     0.63     2 
0360321597   40.78693   -105.72915     0.52     -0.53     0.74     2 
0360321601   40.78782   -105.56986     0.48     -0.29     0.56     2 
0360321602   40.78801   -105.53004     0.75     -0.15     0.76     2 
0360321603   40.78819   -105.49022     0.72     -0.07     0.73     2 
0360321604   40.78835   -105.45040     0.64     -0.25     0.68     2 
0360321605   40.78850   -105.41057     0.70     -0.23     0.73     2 
0360321606   40.78863   -105.37075     0.52     -0.14     0.54     2 
0360321611   40.78910   -105.17163     0.20     -0.35     0.40     1 
0360321628   40.78812   -104.49461     0.23     -0.79     0.83     2 
0360321661   40.75739   -106.16669     0.31     -0.36     0.48     1 
0360321665   40.75889   -106.00749     0.41      0.17     0.44     1 
0360321666   40.75923   -105.96769     0.59      0.26     0.64     2 
