Fri. Jul. 18, 2014             LANDSAT 1                 Time: 13:08
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L12478139            Path/Row: 036 / 032

L0R Reference Image: L11XXX1173191170101_HDF.141991757
Acquisition Date: Jul 10, 1973

Band Number:  7

GeoCover date for each WRS-1 path/row used:
Path  Row   Date
033   031   2000-06-10
033   032   2002-09-20
033   033   2000-09-14
034   031   1999-10-05
034   032   2001-09-24
034   033   2001-09-24


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340310003   41.214653 -105.739964  2187.556       0.000     0.000   -31.676    21.619
0340310015   41.170105 -105.592834  2225.756       0.000     0.000    34.785   -10.982
0340310045   41.014250 -104.848603  1870.336       0.000     0.000    11.810   -12.132
0340310050   40.828281 -104.604955  1644.505       0.000     0.000    15.349   -12.917
0340310053   41.104271 -105.572235  2277.361       0.000     0.000     7.681    -5.955
0340310066   40.975922 -105.110422  2033.781       0.000     0.000    18.918   -10.458
0340310102   41.170936 -105.533475  2332.911       0.000     0.000    25.768   -11.294
0340310103   41.185498 -105.735343  2186.000       0.000     0.000    68.831    15.843
0340310119   41.118992 -105.739603  2229.936       0.000     0.000     2.715   -14.302
0340310122   41.089097 -105.679260  2273.043       0.000     0.000    -1.728   -30.495
0340310127   40.910497 -104.866651  1732.841       0.000     0.000    -0.484    -4.478
0340310131   41.178414 -105.236663  2189.927       0.000     0.000    37.274   -18.130
0340310134   41.223439 -105.625529  2191.892       0.000     0.000    32.288   -25.854
0340310139   40.926657 -105.174477  1925.026       0.000     0.000    11.288   -13.685
0340310143   41.044233 -105.297577  2353.515       0.000     0.000    -7.349     5.787
0340310211   41.228737 -105.408661  2655.917       0.000     0.000    -4.806     8.166
0340310236   41.262038 -105.681049  2178.558       0.000     0.000    21.048    -5.619
0340310244   40.920218 -105.140256  1962.830       0.000     0.000    -4.343    -2.355
0340310257   41.172450 -105.658662  2209.599       0.000     0.000    14.709   -14.094
0340310262   41.079752 -105.498451  2352.349       0.000     0.000   -61.494   -59.013
0340310290   41.238546 -105.722333  2185.623       0.000     0.000    18.536    -7.357
0340310304   41.148560 -105.458215  2481.679       0.000     0.000   -18.113   -29.690
0340310333   41.161824 -105.377493  2525.424       0.000     0.000   -35.158    -0.811
0340310342   41.124948 -105.648180  2234.072       0.000     0.000    25.617    -3.151
0340310387   41.134353 -105.703317  2222.698       0.000     0.000     5.980    -0.986
0340310398   40.975871 -105.154638  2074.483       0.000     0.000    -5.660     3.306
0340320001   39.917702 -105.401113  2689.106       0.000     0.000     2.210    -9.854
0340320006   39.858373 -105.060559  1651.748       0.000     0.000    15.292    15.577
0340320010   40.051470 -105.778231  2990.515       0.000     0.000   -38.571   -22.499
0340320013   39.948115 -105.358446  2166.798       0.000     0.000    12.567   -11.243
0340320014   40.568573 -105.391505  2422.299       0.000     0.000   -36.040     4.589
0340320017   40.664731 -105.203250  1577.611       0.000     0.000   -26.562     2.454
0340320023   39.639704 -105.254059  2283.510       0.000     0.000   -17.061     6.038
0340320025   39.645970 -105.340797  2259.740       0.000     0.000     1.897   -10.786
0340320028   40.471939 -104.993158  1488.848       0.000     0.000   -58.700   -27.597
0340320032   40.072821 -105.205702  1557.310       0.000     0.000    45.851   -40.543
0340320033   39.572941 -105.028176  1630.716       0.000     0.000    25.664    21.660
0340320035   39.766942 -105.140340  1664.874       0.000     0.000    13.275    -0.673
0340320037   39.789135 -105.115158  1633.129       0.000     0.000    -7.415    17.603
0340320039   39.783614 -105.406640  2630.900       0.000     0.000    -4.794    -2.894
0340320042   40.159147 -105.840753  2529.062       0.000     0.000    66.582   -38.686
0340320043   40.838311 -105.156097  1761.545       0.000     0.000    -4.286    19.131
0340320058   40.161448 -105.894328  2516.883       0.000     0.000     3.780    23.920
0340320060   40.653002 -105.061982  1554.000       0.000     0.000    -5.490    27.654
0340320064   39.764221 -105.632787  2471.385       0.000     0.000   -13.694    18.888
0340320065   40.611322 -105.132161  1533.530       0.000     0.000    17.571    -1.413
0340320067   40.884313 -104.632041  1643.536       0.000     0.000    23.333     7.025
0340320069   39.740653 -105.591256  2811.750       0.000     0.000    -1.003     6.543
0340320079   40.180398 -105.817054  2521.547       0.000     0.000    22.112   -20.443
0340320081   39.724602 -105.244569  2221.172       0.000     0.000   -10.033    -1.546
0340320083   40.624884 -105.079691  1517.000       0.000     0.000    20.083   -22.543
0340320087   40.308126 -105.077905  1519.119       0.000     0.000    -3.391    -3.498
0340320102   40.388648 -105.104155  1512.804       0.000     0.000    13.493    20.452
0340320106   41.126404 -105.721459  2221.424       0.000     0.000     7.652    11.052
0340320108   39.674147 -105.853732  3719.482       0.000     0.000    25.824     8.585
0340320109   39.968435 -105.898131  2650.556       0.000     0.000   -21.136   -19.259
0340320111   39.820905 -105.409664  2592.379       0.000     0.000   -19.395    27.578
0340320116   40.133948 -105.811567  2515.662       0.000     0.000    10.129   -41.913
0340320122   39.939772 -105.658278  3436.166       0.000     0.000     9.046    -4.879
0340320125   40.521641 -105.080277  1521.817       0.000     0.000    30.085    22.992
0340320132   39.690788 -105.358511  2376.347       0.000     0.000   -25.861    11.481
0340320135   40.492480 -105.008732  1470.000       0.000     0.000    -8.337    -4.434
0340320145   40.041472 -105.203498  1558.482       0.000     0.000    22.937   -35.887
