"landsat_mission","sensor","date","pixel_count","ndvi_max","ndvi_min","ndvi_mean","ndvi_sd","ndvi_cv"
"1","M",1973-07-10,74,0.372549019607843,-0.259259259259259,0.101179308065477,0.16962660489964,167.6495008148
"1","M",1973-07-28,74,0.392592592592593,-0.174193548387097,0.0551891107748808,0.113592356201147,205.823856565647
"1","M",1973-08-15,74,0.450549450549451,0.0357142857142857,0.259695370149493,0.105061878211302,40.4558148845023
"1","M",1974-07-23,74,0.484375,0.004739336492891,0.293662523657075,0.104544504492998,35.6002200046064
"1","M",1974-08-28,74,0.433962264150943,0.107438016528926,0.264375063394443,0.0705197977773669,26.6741487914663
"1","M",1975-07-18,74,0.441441441441441,-0.163934426229508,0.142374959930225,0.175929079048101,123.567430069389
"1","M",1975-08-05,74,0.492537313432836,-0.128787878787879,0.249834717256474,0.114723756632505,45.9198616958958
"1","M",1975-08-23,74,0.488888888888889,0.0738255033557047,0.316852464976489,0.10518247744892,33.1960420307051
"1","M",1976-07-12,74,0.384615384615385,-0.15,0.158441361755151,0.11267999381651,71.1177892996407
"1","M",1974-08-11,74,0.50354609929078,0.113924050632911,0.329179297051942,0.0863297491352851,26.2257529280958
"1","M",1974-08-29,74,0.378151260504202,0.0481927710843374,0.2038522808143,0.080910628971951,39.6908136856496
"2","M",1975-07-09,74,0,-0.123919308357349,-0.0310834697729849,0.0366763715893273,-117.993170830637
"2","M",1975-07-27,74,0.546666666666667,-0.00327868852459016,0.349684090371245,0.132028464877861,37.756497511137
"2","M",1976-07-03,74,0.352941176470588,-0.141176470588235,0.104856619270438,0.121093628930207,115.484963918102
"2","M",1976-08-26,74,0.670588235294118,-0.40495867768595,0.283486765801019,0.189926683282324,66.9966665800671
"2","M",1977-07-16,74,0.503759398496241,0.122222222222222,0.32478962315189,0.0892123826164696,27.4677441202452
"2","M",1977-08-03,74,0.522012578616352,0.107142857142857,0.336067029103009,0.083117161378852,24.7323165264675
"2","M",1977-08-21,74,0.483333333333333,0.133333333333333,0.31944800127981,0.0753454321961872,23.5861335473472
"2","M",1978-08-16,74,0.608695652173913,0.138075313807531,0.353687404518137,0.111682439101203,31.5765949464213
"2","M",1979-08-11,74,0.625,-0.0112359550561798,0.34091329193675,0.115535503533585,33.8899967429315
"2","M",1979-08-29,74,0.565217391304348,0.10958904109589,0.359951707150935,0.109030191906898,30.290227755797
"2","M",1981-07-31,74,0.508982035928144,0.178947368421053,0.349195296305614,0.0735332498914573,21.0579153469185
"2","M",1981-08-18,74,0.527950310559006,0.129411764705882,0.35917457254029,0.0831987809679146,23.1638838962026
"2","M",1975-07-10,74,0.117845117845118,-0.2,-0.0747726698564244,0.0589796084719187,-78.8785643005246
"2","M",1975-07-28,74,0.644171779141104,-0.25,0.236321080237136,0.158456797512282,67.0514866271257
"2","M",1976-07-04,74,0.379310344827586,-0.138028169014085,0.184562742951062,0.111742860868988,60.5446468134779
"2","M",1976-07-22,74,0.530864197530864,0.115577889447236,0.340381728271414,0.0862693173597766,25.344873180439
"2","M",1976-08-09,74,0.0705882352941176,-0.0721649484536082,0.0192166336092716,0.029883412026795,155.508049091267
"2","M",1976-08-27,74,0.5625,0.0612244897959184,0.386718457414117,0.0880196652331577,22.7606579271447
"2","M",1977-07-17,74,0.481481481481481,0.129943502824859,0.313816056847651,0.0796913700787946,25.3942933574882
"2","M",1979-07-07,74,0.567567567567568,-0.167883211678832,0.121644918737415,0.177826429408482,146.184839658071
"2","M",1979-07-25,74,0.560606060606061,-0.169724770642202,0.275119000210822,0.183945765361323,66.8604368365567
"2","M",1981-07-14,74,0.551515151515152,0.18716577540107,0.363315926013639,0.0733855751181396,20.1988324385716
"2","M",1981-08-19,74,0.51219512195122,-0.2,0.300460991254215,0.136515729851322,45.435425504477
"3","M",1978-07-02,74,0.441441441441441,-0.236593059936909,0.0825354636363705,0.174277797309326,211.155047334741
"3","M",1978-08-07,74,0.344,-0.0628930817610063,0.0488572140403505,0.112893021915779,231.067252059321
"3","M",1979-08-02,74,0.284090909090909,-0.0841750841750842,0.00890598195812205,0.0811121268379434,910.760062386731
"3","M",1980-07-09,74,0.544715447154472,-0.323843416370107,0.217231874490968,0.231753315263302,106.684765210612
"3","M",1980-07-27,74,0.575221238938053,0.0756972111553785,0.35149270103102,0.123395925013779,35.1062553082401
"3","M",1978-08-26,74,0.590163934426229,0.142857142857143,0.395993834254469,0.0992083792470986,25.0530110989927
"3","M",1979-07-16,74,0.58974358974359,-0.135646687697161,0.207813716145832,0.194097192603729,93.3996062452021
"3","M",1979-08-03,74,0.605633802816901,0.0894308943089431,0.377705177694904,0.126657781801052,33.5335042463626
"3","M",1980-07-10,74,0.202247191011236,-0.176,0.00445760152194852,0.100312919309706,2250.37879262607
"3","M",1980-07-28,74,0.576470588235294,0.151515151515152,0.373274766322993,0.0964479135945929,25.8383159795851
"4","M",1984-07-16,74,0.619047619047619,-0.271523178807947,0.174896391465819,0.205953716821309,117.757556399647
"4","M",1983-07-05,74,0.48,-0.150127226463104,0.0644762845654472,0.148602784771286,230.476656297472
"4","M",1983-08-22,74,0.664864864864865,0.22680412371134,0.481197952347192,0.0836730686842137,17.3884922568919
"4","M",1989-07-05,74,0.503448275862069,-0.0625,0.286221880302228,0.12204824931071,42.6411318316533
"4","M",1992-08-30,74,0.285714285714286,0.126315789473684,0.195245152529443,0.0305295454068416,15.6365190179243
"5","M",1986-07-21,74,0.365853658536585,-0.0949720670391061,0.217039448595994,0.0928995908542042,42.8030901548831
